Day,Date,Phase,Cumulative_Cases,Daily_Cases,Active_Cases,Deaths_Today,Cumulative_Deaths,Effective_R
377,2030-01-15 + 377 days,International Response,0,0,0,0,19648,0.05
378,2030-01-15 + 378 days,International Response,0,0,0,0,19648,0.05
379,2030-01-15 + 379 days,International Response,0,0,0,0,19648,0.05
380,2030-01-15 + 380 days,International Response,0,0,0,0,19648,0.05
381,2030-01-15 + 381 days,International Response,0,0,0,0,19648,0.05
382,2030-01-15 + 382 days,International Response,0,0,0,0,19648,0.05
383,2030-01-15 + 383 days,International Response,0,0,0,0,19648,0.05
384,2030-01-15 + 384 days,International Response,0,0,0,0,19648,0.05
385,2030-01-15 + 385 days,International Response,0,0,0,0,19648,0.05
386,2030-01-15 + 386 days,International Response,0,0,0,0,19648,0.05
387,2030-01-15 + 387 days,International Response,0,0,0,0,19648,0.05
388,2030-01-15 + 388 days,International Response,0,0,0,0,19648,0.05
389,2030-01-15 + 389 days,International Response,0,0,0,0,19648,0.05
390,2030-01-15 + 390 days,International Response,0,0,0,0,19648,0.05
391,2030-01-15 + 391 days,International Response,0,0,0,0,19648,0.05
392,2030-01-15 + 392 days,International Response,0,0,0,0,19648,0.05
393,2030-01-15 + 393 days,International Response,0,0,0,0,19648,0.05
394,2030-01-15 + 394 days,International Response,0,0,0,0,19648,0.05
395,2030-01-15 + 395 days,International Response,0,0,0,0,19648,0.05
396,2030-01-15 + 396 days,International Response,0,0,0,0,19648,0.05
397,2030-01-15 + 397 days,International Response,0,0,0,0,19648,0.05
398,2030-01-15 + 398 days,International Response,0,0,0,0,19648,0.05
399,2030-01-15 + 399 days,International Response,0,0,0,0,19648,0.05
400,2030-01-15 + 400 days,International Response,0,0,0,0,19648,0.05
401,2030-01-15 + 401 days,International Response,0,0,0,0,19648,0.05
402,2030-01-15 + 402 days,International Response,0,0,0,0,19648,0.05
403,2030-01-15 + 403 days,International Response,0,0,0,0,19648,0.05
404,2030-01-15 + 404 days,International Response,0,0,0,0,19648,0.05
405,2030-01-15 + 405 days,International Response,0,0,0,0,19648,0.05
406,2030-01-15 + 406 days,International Response,0,0,0,0,19648,0.05
407,2030-01-15 + 407 days,International Response,0,0,0,0,19648,0.05
408,2030-01-15 + 408 days,International Response,0,0,0,0,19648,0.05
409,2030-01-15 + 409 days,International Response,0,0,0,0,19648,0.05
410,2030-01-15 + 410 days,International Response,0,0,0,0,19648,0.05
411,2030-01-15 + 411 days,International Response,0,0,0,0,19648,0.05
412,2030-01-15 + 412 days,International Response,0,0,0,0,19648,0.05
413,2030-01-15 + 413 days,International Response,0,0,0,0,19648,0.05
414,2030-01-15 + 414 days,International Response,0,0,0,0,19648,0.05
415,2030-01-15 + 415 days,International Response,0,0,0,0,19648,0.05
416,2030-01-15 + 416 days,International Response,0,0,0,0,19648,0.05
417,2030-01-15 + 417 days,International Response,0,0,0,0,19648,0.05
418,2030-01-15 + 418 days,International Response,0,0,0,0,19648,0.05
419,2030-01-15 + 419 days,International Response,0,0,0,0,19648,0.05
420,2030-01-15 + 420 days,International Response,0,0,0,0,19648,0.05
421,2030-01-15 + 421 days,International Response,0,0,0,0,19648,0.05
422,2030-01-15 + 422 days,International Response,0,0,0,0,19648,0.05
423,2030-01-15 + 423 days,International Response,0,0,0,0,19648,0.05
424,2030-01-15 + 424 days,International Response,0,0,0,0,19648,0.05
425,2030-01-15 + 425 days,International Response,0,0,0,0,19648,0.05
426,2030-01-15 + 426 days,International Response,0,0,0,0,19648,0.05
427,2030-01-15 + 427 days,International Response,0,0,0,0,19648,0.05
428,2030-01-15 + 428 days,International Response,0,0,0,0,19648,0.05
429,2030-01-15 + 429 days,International Response,0,0,0,0,19648,0.05
430,2030-01-15 + 430 days,International Response,0,0,0,0,19648,0.05
431,2030-01-15 + 431 days,International Response,0,0,0,0,19648,0.05
432,2030-01-15 + 432 days,International Response,0,0,0,0,19648,0.05
433,2030-01-15 + 433 days,International Response,0,0,0,0,19648,0.05
434,2030-01-15 + 434 days,International Response,0,0,0,0,19648,0.05
435,2030-01-15 + 435 days,International Response,0,0,0,0,19648,0.05
436,2030-01-15 + 436 days,International Response,0,0,0,0,19648,0.05
437,2030-01-15 + 437 days,International Response,0,0,0,0,19648,0.05
438,2030-01-15 + 438 days,International Response,0,0,0,0,19648,0.05
439,2030-01-15 + 439 days,International Response,0,0,0,0,19648,0.05
440,2030-01-15 + 440 days,International Response,0,0,0,0,19648,0.05
441,2030-01-15 + 441 days,International Response,0,0,0,0,19648,0.05
442,2030-01-15 + 442 days,International Response,0,0,0,0,19648,0.05
443,2030-01-15 + 443 days,International Response,0,0,0,0,19648,0.05
444,2030-01-15 + 444 days,International Response,0,0,0,0,19648,0.05
445,2030-01-15 + 445 days,International Response,0,0,0,0,19648,0.05
446,2030-01-15 + 446 days,International Response,0,0,0,0,19648,0.05
447,2030-01-15 + 447 days,International Response,0,0,0,0,19648,0.05
448,2030-01-15 + 448 days,International Response,0,0,0,0,19648,0.05
449,2030-01-15 + 449 days,International Response,0,0,0,0,19648,0.05
450,2030-01-15 + 450 days,International Response,0,0,0,0,19648,0.05
451,2030-01-15 + 451 days,International Response,0,0,0,0,19648,0.05
452,2030-01-15 + 452 days,International Response,0,0,0,0,19648,0.05
453,2030-01-15 + 453 days,International Response,0,0,0,0,19648,0.05
454,2030-01-15 + 454 days,International Response,0,0,0,0,19648,0.05
455,2030-01-15 + 455 days,International Response,0,0,0,0,19648,0.05
456,2030-01-15 + 456 days,International Response,0,0,0,0,19648,0.05
457,2030-01-15 + 457 days,International Response,0,0,0,0,19648,0.05
458,2030-01-15 + 458 days,International Response,0,0,0,0,19648,0.05
459,2030-01-15 + 459 days,International Response,0,0,0,0,19648,0.05
460,2030-01-15 + 460 days,International Response,0,0,0,0,19648,0.05
461,2030-01-15 + 461 days,International Response,0,0,0,0,19648,0.05
462,2030-01-15 + 462 days,International Response,0,0,0,0,19648,0.05
463,2030-01-15 + 463 days,International Response,0,0,0,0,19648,0.05
464,2030-01-15 + 464 days,International Response,0,0,0,0,19648,0.05
465,2030-01-15 + 465 days,International Response,0,0,0,0,19648,0.05
466,2030-01-15 + 466 days,International Response,0,0,0,0,19648,0.05
467,2030-01-15 + 467 days,International Response,0,0,0,0,19648,0.05
468,2030-01-15 + 468 days,International Response,0,0,0,0,19648,0.05
469,2030-01-15 + 469 days,International Response,0,0,0,0,19648,0.05
470,2030-01-15 + 470 days,International Response,0,0,0,0,19648,0.05
471,2030-01-15 + 471 days,International Response,0,0,0,0,19648,0.05
472,2030-01-15 + 472 days,International Response,0,0,0,0,19648,0.05
473,2030-01-15 + 473 days,International Response,0,0,0,0,19648,0.05
474,2030-01-15 + 474 days,International Response,0,0,0,0,19648,0.05
475,2030-01-15 + 475 days,International Response,0,0,0,0,19648,0.05
476,2030-01-15 + 476 days,International Response,0,0,0,0,19648,0.05
477,2030-01-15 + 477 days,International Response,0,0,0,0,19648,0.05
478,2030-01-15 + 478 days,International Response,0,0,0,0,19648,0.05
479,2030-01-15 + 479 days,International Response,0,0,0,0,19648,0.05
480,2030-01-15 + 480 days,International Response,0,0,0,0,19648,0.05
481,2030-01-15 + 481 days,International Response,0,0,0,0,19648,0.05
482,2030-01-15 + 482 days,International Response,0,0,0,0,19648,0.05
483,2030-01-15 + 483 days,International Response,0,0,0,0,19648,0.05
484,2030-01-15 + 484 days,International Response,0,0,0,0,19648,0.05
485,2030-01-15 + 485 days,International Response,0,0,0,0,19648,0.05
486,2030-01-15 + 486 days,International Response,0,0,0,0,19648,0.05
487,2030-01-15 + 487 days,International Response,0,0,0,0,19648,0.05
488,2030-01-15 + 488 days,International Response,0,0,0,0,19648,0.05
489,2030-01-15 + 489 days,International Response,0,0,0,0,19648,0.05
490,2030-01-15 + 490 days,International Response,0,0,0,0,19648,0.05
491,2030-01-15 + 491 days,International Response,0,0,0,0,19648,0.05
492,2030-01-15 + 492 days,International Response,0,0,0,0,19648,0.05
493,2030-01-15 + 493 days,International Response,0,0,0,0,19648,0.05
494,2030-01-15 + 494 days,International Response,0,0,0,0,19648,0.05
495,2030-01-15 + 495 days,International Response,0,0,0,0,19648,0.05
496,2030-01-15 + 496 days,International Response,0,0,0,0,19648,0.05
497,2030-01-15 + 497 days,International Response,0,0,0,0,19648,0.05
498,2030-01-15 + 498 days,International Response,0,0,0,0,19648,0.05
499,2030-01-15 + 499 days,International Response,0,0,0,0,19648,0.05
500,2030-01-15 + 500 days,International Response,0,0,0,0,19648,0.05
501,2030-01-15 + 501 days,International Response,0,0,0,0,19648,0.05
502,2030-01-15 + 502 days,International Response,0,0,0,0,19648,0.05
503,2030-01-15 + 503 days,International Response,0,0,0,0,19648,0.05
504,2030-01-15 + 504 days,International Response,0,0,0,0,19648,0.05
505,2030-01-15 + 505 days,International Response,0,0,0,0,19648,0.05
506,2030-01-15 + 506 days,International Response,0,0,0,0,19648,0.05
507,2030-01-15 + 507 days,International Response,0,0,0,0,19648,0.05
508,2030-01-15 + 508 days,International Response,0,0,0,0,19648,0.05
509,2030-01-15 + 509 days,International Response,0,0,0,0,19648,0.05
510,2030-01-15 + 510 days,International Response,0,0,0,0,19648,0.05
511,2030-01-15 + 511 days,International Response,0,0,0,0,19648,0.05
512,2030-01-15 + 512 days,International Response,0,0,0,0,19648,0.05
513,2030-01-15 + 513 days,International Response,0,0,0,0,19648,0.05
514,2030-01-15 + 514 days,International Response,0,0,0,0,19648,0.05
515,2030-01-15 + 515 days,International Response,0,0,0,0,19648,0.05
516,2030-01-15 + 516 days,International Response,0,0,0,0,19648,0.05
517,2030-01-15 + 517 days,International Response,0,0,0,0,19648,0.05
518,2030-01-15 + 518 days,International Response,0,0,0,0,19648,0.05
519,2030-01-15 + 519 days,International Response,0,0,0,0,19648,0.05
520,2030-01-15 + 520 days,International Response,0,0,0,0,19648,0.05
521,2030-01-15 + 521 days,International Response,0,0,0,0,19648,0.05
522,2030-01-15 + 522 days,International Response,0,0,0,0,19648,0.05
523,2030-01-15 + 523 days,International Response,0,0,0,0,19648,0.05
524,2030-01-15 + 524 days,International Response,0,0,0,0,19648,0.05
525,2030-01-15 + 525 days,International Response,0,0,0,0,19648,0.05
526,2030-01-15 + 526 days,International Response,0,0,0,0,19648,0.05
527,2030-01-15 + 527 days,International Response,0,0,0,0,19648,0.05
528,2030-01-15 + 528 days,International Response,0,0,0,0,19648,0.05
529,2030-01-15 + 529 days,International Response,0,0,0,0,19648,0.05
530,2030-01-15 + 530 days,International Response,0,0,0,0,19648,0.05
531,2030-01-15 + 531 days,International Response,0,0,0,0,19648,0.05
532,2030-01-15 + 532 days,International Response,0,0,0,0,19648,0.05
533,2030-01-15 + 533 days,International Response,0,0,0,0,19648,0.05
534,2030-01-15 + 534 days,International Response,0,0,0,0,19648,0.05
535,2030-01-15 + 535 days,International Response,0,0,0,0,19648,0.05
536,2030-01-15 + 536 days,International Response,0,0,0,0,19648,0.05
537,2030-01-15 + 537 days,International Response,0,0,0,0,19648,0.05
538,2030-01-15 + 538 days,International Response,0,0,0,0,19648,0.05
539,2030-01-15 + 539 days,International Response,0,0,0,0,19648,0.05
540,2030-01-15 + 540 days,International Response,0,0,0,0,19648,0.05
541,2030-01-15 + 541 days,International Response,0,0,0,0,19648,0.05
542,2030-01-15 + 542 days,International Response,0,0,0,0,19648,0.05
543,2030-01-15 + 543 days,International Response,0,0,0,0,19648,0.05
544,2030-01-15 + 544 days,International Response,0,0,0,0,19648,0.05
545,2030-01-15 + 545 days,International Response,0,0,0,0,19648,0.05
546,2030-01-15 + 546 days,International Response,0,0,0,0,19648,0.05
547,2030-01-15 + 547 days,International Response,0,0,0,0,19648,0.05
548,2030-01-15 + 548 days,International Response,0,0,0,0,19648,0.05
549,2030-01-15 + 549 days,International Response,0,0,0,0,19648,0.05
550,2030-01-15 + 550 days,International Response,0,0,0,0,19648,0.05
551,2030-01-15 + 551 days,International Response,0,0,0,0,19648,0.05
552,2030-01-15 + 552 days,International Response,0,0,0,0,19648,0.05
553,2030-01-15 + 553 days,International Response,0,0,0,0,19648,0.05
554,2030-01-15 + 554 days,International Response,0,0,0,0,19648,0.05
555,2030-01-15 + 555 days,International Response,0,0,0,0,19648,0.05
556,2030-01-15 + 556 days,International Response,0,0,0,0,19648,0.05
557,2030-01-15 + 557 days,International Response,0,0,0,0,19648,0.05
558,2030-01-15 + 558 days,International Response,0,0,0,0,19648,0.05
559,2030-01-15 + 559 days,International Response,0,0,0,0,19648,0.05
560,2030-01-15 + 560 days,International Response,0,0,0,0,19648,0.05
561,2030-01-15 + 561 days,International Response,0,0,0,0,19648,0.05
562,2030-01-15 + 562 days,International Response,0,0,0,0,19648,0.05
563,2030-01-15 + 563 days,International Response,0,0,0,0,19648,0.05
564,2030-01-15 + 564 days,International Response,0,0,0,0,19648,0.05
565,2030-01-15 + 565 days,International Response,0,0,0,0,19648,0.05
566,2030-01-15 + 566 days,International Response,0,0,0,0,19648,0.05
567,2030-01-15 + 567 days,International Response,0,0,0,0,19648,0.05
568,2030-01-15 + 568 days,International Response,0,0,0,0,19648,0.05
569,2030-01-15 + 569 days,International Response,0,0,0,0,19648,0.05
570,2030-01-15 + 570 days,International Response,0,0,0,0,19648,0.05
571,2030-01-15 + 571 days,International Response,0,0,0,0,19648,0.05
572,2030-01-15 + 572 days,International Response,0,0,0,0,19648,0.05
573,2030-01-15 + 573 days,International Response,0,0,0,0,19648,0.05
574,2030-01-15 + 574 days,International Response,0,0,0,0,19648,0.05
575,2030-01-15 + 575 days,International Response,0,0,0,0,19648,0.05
576,2030-01-15 + 576 days,International Response,0,0,0,0,19648,0.05
577,2030-01-15 + 577 days,International Response,0,0,0,0,19648,0.05
578,2030-01-15 + 578 days,International Response,0,0,0,0,19648,0.05
579,2030-01-15 + 579 days,International Response,0,0,0,0,19648,0.05
580,2030-01-15 + 580 days,International Response,0,0,0,0,19648,0.05
581,2030-01-15 + 581 days,International Response,0,0,0,0,19648,0.05
582,2030-01-15 + 582 days,International Response,0,0,0,0,19648,0.05
583,2030-01-15 + 583 days,International Response,0,0,0,0,19648,0.05
584,2030-01-15 + 584 days,International Response,0,0,0,0,19648,0.05
585,2030-01-15 + 585 days,International Response,0,0,0,0,19648,0.05
586,2030-01-15 + 586 days,International Response,0,0,0,0,19648,0.05
587,2030-01-15 + 587 days,International Response,0,0,0,0,19648,0.05
588,2030-01-15 + 588 days,International Response,0,0,0,0,19648,0.05
589,2030-01-15 + 589 days,International Response,0,0,0,0,19648,0.05
590,2030-01-15 + 590 days,International Response,0,0,0,0,19648,0.05
591,2030-01-15 + 591 days,International Response,0,0,0,0,19648,0.05
592,2030-01-15 + 592 days,International Response,0,0,0,0,19648,0.05
593,2030-01-15 + 593 days,International Response,0,0,0,0,19648,0.05
594,2030-01-15 + 594 days,International Response,0,0,0,0,19648,0.05
595,2030-01-15 + 595 days,International Response,0,0,0,0,19648,0.05
596,2030-01-15 + 596 days,International Response,0,0,0,0,19648,0.05
597,2030-01-15 + 597 days,International Response,0,0,0,0,19648,0.05
598,2030-01-15 + 598 days,International Response,0,0,0,0,19648,0.05
599,2030-01-15 + 599 days,International Response,0,0,0,0,19648,0.05
600,2030-01-15 + 600 days,International Response,0,0,0,0,19648,0.05
601,2030-01-15 + 601 days,International Response,0,0,0,0,19648,0.05
602,2030-01-15 + 602 days,International Response,0,0,0,0,19648,0.05
603,2030-01-15 + 603 days,International Response,0,0,0,0,19648,0.05
604,2030-01-15 + 604 days,International Response,0,0,0,0,19648,0.05
605,2030-01-15 + 605 days,International Response,0,0,0,0,19648,0.05
606,2030-01-15 + 606 days,International Response,0,0,0,0,19648,0.05
607,2030-01-15 + 607 days,International Response,0,0,0,0,19648,0.05
608,2030-01-15 + 608 days,International Response,0,0,0,0,19648,0.05
609,2030-01-15 + 609 days,International Response,0,0,0,0,19648,0.05
610,2030-01-15 + 610 days,International Response,0,0,0,0,19648,0.05
611,2030-01-15 + 611 days,International Response,0,0,0,0,19648,0.05
612,2030-01-15 + 612 days,International Response,0,0,0,0,19648,0.05
613,2030-01-15 + 613 days,International Response,0,0,0,0,19648,0.05
614,2030-01-15 + 614 days,International Response,0,0,0,0,19648,0.05
615,2030-01-15 + 615 days,International Response,0,0,0,0,19648,0.05
616,2030-01-15 + 616 days,International Response,0,0,0,0,19648,0.05
617,2030-01-15 + 617 days,International Response,0,0,0,0,19648,0.05
618,2030-01-15 + 618 days,International Response,0,0,0,0,19648,0.05
619,2030-01-15 + 619 days,International Response,0,0,0,0,19648,0.05
620,2030-01-15 + 620 days,International Response,0,0,0,0,19648,0.05
621,2030-01-15 + 621 days,International Response,0,0,0,0,19648,0.05
622,2030-01-15 + 622 days,International Response,0,0,0,0,19648,0.05
623,2030-01-15 + 623 days,International Response,0,0,0,0,19648,0.05
624,2030-01-15 + 624 days,International Response,0,0,0,0,19648,0.05
625,2030-01-15 + 625 days,International Response,0,0,0,0,19648,0.05
626,2030-01-15 + 626 days,International Response,0,0,0,0,19648,0.05
627,2030-01-15 + 627 days,International Response,0,0,0,0,19648,0.05
628,2030-01-15 + 628 days,International Response,0,0,0,0,19648,0.05
629,2030-01-15 + 629 days,International Response,0,0,0,0,19648,0.05
630,2030-01-15 + 630 days,International Response,0,0,0,0,19648,0.05
631,2030-01-15 + 631 days,International Response,0,0,0,0,19648,0.05
632,2030-01-15 + 632 days,International Response,0,0,0,0,19648,0.05
633,2030-01-15 + 633 days,International Response,0,0,0,0,19648,0.05
634,2030-01-15 + 634 days,International Response,0,0,0,0,19648,0.05
635,2030-01-15 + 635 days,International Response,0,0,0,0,19648,0.05
636,2030-01-15 + 636 days,International Response,0,0,0,0,19648,0.05
637,2030-01-15 + 637 days,International Response,0,0,0,0,19648,0.05
638,2030-01-15 + 638 days,International Response,0,0,0,0,19648,0.05
639,2030-01-15 + 639 days,International Response,0,0,0,0,19648,0.05
640,2030-01-15 + 640 days,International Response,0,0,0,0,19648,0.05
641,2030-01-15 + 641 days,International Response,0,0,0,0,19648,0.05
642,2030-01-15 + 642 days,International Response,0,0,0,0,19648,0.05
643,2030-01-15 + 643 days,International Response,0,0,0,0,19648,0.05
644,2030-01-15 + 644 days,International Response,0,0,0,0,19648,0.05
645,2030-01-15 + 645 days,International Response,0,0,0,0,19648,0.05
646,2030-01-15 + 646 days,International Response,0,0,0,0,19648,0.05
647,2030-01-15 + 647 days,International Response,0,0,0,0,19648,0.05
648,2030-01-15 + 648 days,International Response,0,0,0,0,19648,0.05
649,2030-01-15 + 649 days,International Response,0,0,0,0,19648,0.05
650,2030-01-15 + 650 days,International Response,0,0,0,0,19648,0.05
651,2030-01-15 + 651 days,International Response,0,0,0,0,19648,0.05
652,2030-01-15 + 652 days,International Response,0,0,0,0,19648,0.05
653,2030-01-15 + 653 days,International Response,0,0,0,0,19648,0.05
654,2030-01-15 + 654 days,International Response,0,0,0,0,19648,0.05
655,2030-01-15 + 655 days,International Response,0,0,0,0,19648,0.05
656,2030-01-15 + 656 days,International Response,0,0,0,0,19648,0.05
657,2030-01-15 + 657 days,International Response,0,0,0,0,19648,0.05
658,2030-01-15 + 658 days,International Response,0,0,0,0,19648,0.05
659,2030-01-15 + 659 days,International Response,0,0,0,0,19648,0.05
660,2030-01-15 + 660 days,International Response,0,0,0,0,19648,0.05
661,2030-01-15 + 661 days,International Response,0,0,0,0,19648,0.05
662,2030-01-15 + 662 days,International Response,0,0,0,0,19648,0.05
663,2030-01-15 + 663 days,International Response,0,0,0,0,19648,0.05
664,2030-01-15 + 664 days,International Response,0,0,0,0,19648,0.05
665,2030-01-15 + 665 days,International Response,0,0,0,0,19648,0.05
666,2030-01-15 + 666 days,International Response,0,0,0,0,19648,0.05
667,2030-01-15 + 667 days,International Response,0,0,0,0,19648,0.05
668,2030-01-15 + 668 days,International Response,0,0,0,0,19648,0.05
669,2030-01-15 + 669 days,International Response,0,0,0,0,19648,0.05
670,2030-01-15 + 670 days,International Response,0,0,0,0,19648,0.05
671,2030-01-15 + 671 days,International Response,0,0,0,0,19648,0.05
672,2030-01-15 + 672 days,International Response,0,0,0,0,19648,0.05
673,2030-01-15 + 673 days,International Response,0,0,0,0,19648,0.05
674,2030-01-15 + 674 days,International Response,0,0,0,0,19648,0.05
675,2030-01-15 + 675 days,International Response,0,0,0,0,19648,0.05
676,2030-01-15 + 676 days,International Response,0,0,0,0,19648,0.05
677,2030-01-15 + 677 days,International Response,0,0,0,0,19648,0.05
678,2030-01-15 + 678 days,International Response,0,0,0,0,19648,0.05
679,2030-01-15 + 679 days,International Response,0,0,0,0,19648,0.05
680,2030-01-15 + 680 days,International Response,0,0,0,0,19648,0.05
681,2030-01-15 + 681 days,International Response,0,0,0,0,19648,0.05
682,2030-01-15 + 682 days,International Response,0,0,0,0,19648,0.05
683,2030-01-15 + 683 days,International Response,0,0,0,0,19648,0.05
684,2030-01-15 + 684 days,International Response,0,0,0,0,19648,0.05
685,2030-01-15 + 685 days,International Response,0,0,0,0,19648,0.05
686,2030-01-15 + 686 days,International Response,0,0,0,0,19648,0.05
687,2030-01-15 + 687 days,International Response,0,0,0,0,19648,0.05
688,2030-01-15 + 688 days,International Response,0,0,0,0,19648,0.05
689,2030-01-15 + 689 days,International Response,0,0,0,0,19648,0.05
690,2030-01-15 + 690 days,International Response,0,0,0,0,19648,0.05
691,2030-01-15 + 691 days,International Response,0,0,0,0,19648,0.05
692,2030-01-15 + 692 days,International Response,0,0,0,0,19648,0.05
693,2030-01-15 + 693 days,International Response,0,0,0,0,19648,0.05
694,2030-01-15 + 694 days,International Response,0,0,0,0,19648,0.05
695,2030-01-15 + 695 days,International Response,0,0,0,0,19648,0.05
696,2030-01-15 + 696 days,International Response,0,0,0,0,19648,0.05
697,2030-01-15 + 697 days,International Response,0,0,0,0,19648,0.05
698,2030-01-15 + 698 days,International Response,0,0,0,0,19648,0.05
699,2030-01-15 + 699 days,International Response,0,0,0,0,19648,0.05
700,2030-01-15 + 700 days,International Response,0,0,0,0,19648,0.05
701,2030-01-15 + 701 days,International Response,0,0,0,0,19648,0.05
702,2030-01-15 + 702 days,International Response,0,0,0,0,19648,0.05
703,2030-01-15 + 703 days,International Response,0,0,0,0,19648,0.05
704,2030-01-15 + 704 days,International Response,0,0,0,0,19648,0.05
705,2030-01-15 + 705 days,International Response,0,0,0,0,19648,0.05
706,2030-01-15 + 706 days,International Response,0,0,0,0,19648,0.05
707,2030-01-15 + 707 days,International Response,0,0,0,0,19648,0.05
708,2030-01-15 + 708 days,International Response,0,0,0,0,19648,0.05
709,2030-01-15 + 709 days,International Response,0,0,0,0,19648,0.05
710,2030-01-15 + 710 days,International Response,0,0,0,0,19648,0.05
711,2030-01-15 + 711 days,International Response,0,0,0,0,19648,0.05
712,2030-01-15 + 712 days,International Response,0,0,0,0,19648,0.05
713,2030-01-15 + 713 days,International Response,0,0,0,0,19648,0.05
714,2030-01-15 + 714 days,International Response,0,0,0,0,19648,0.05
715,2030-01-15 + 715 days,International Response,0,0,0,0,19648,0.05
716,2030-01-15 + 716 days,International Response,0,0,0,0,19648,0.05
717,2030-01-15 + 717 days,International Response,0,0,0,0,19648,0.05
718,2030-01-15 + 718 days,International Response,0,0,0,0,19648,0.05
719,2030-01-15 + 719 days,International Response,0,0,0,0,19648,0.05
720,2030-01-15 + 720 days,International Response,0,0,0,0,19648,0.05
721,2030-01-15 + 721 days,International Response,0,0,0,0,19648,0.05
722,2030-01-15 + 722 days,International Response,0,0,0,0,19648,0.05
723,2030-01-15 + 723 days,International Response,0,0,0,0,19648,0.05
724,2030-01-15 + 724 days,International Response,0,0,0,0,19648,0.05
725,2030-01-15 + 725 days,International Response,0,0,0,0,19648,0.05
726,2030-01-15 + 726 days,International Response,0,0,0,0,19648,0.05
727,2030-01-15 + 727 days,International Response,0,0,0,0,19648,0.05
728,2030-01-15 + 728 days,International Response,0,0,0,0,19648,0.05
729,2030-01-15 + 729 days,International Response,0,0,0,0,19648,0.05
730,2030-01-15 + 730 days,Containment Phase,0,0,0,0,19648,0.05
731,2030-01-15 + 731 days,Containment Phase,0,0,0,0,19648,0.05
732,2030-01-15 + 732 days,Containment Phase,0,0,0,0,19648,0.05
733,2030-01-15 + 733 days,Containment Phase,0,0,0,0,19648,0.05
734,2030-01-15 + 734 days,Containment Phase,0,0,0,0,19648,0.05
735,2030-01-15 + 735 days,Containment Phase,0,0,0,0,19648,0.05
736,2030-01-15 + 736 days,Containment Phase,0,0,0,0,19648,0.05
737,2030-01-15 + 737 days,Containment Phase,0,0,0,0,19648,0.05
738,2030-01-15 + 738 days,Containment Phase,0,0,0,0,19648,0.05
739,2030-01-15 + 739 days,Containment Phase,0,0,0,0,19648,0.05
740,2030-01-15 + 740 days,Containment Phase,0,0,0,0,19648,0.05
741,2030-01-15 + 741 days,Containment Phase,0,0,0,0,19648,0.05
742,2030-01-15 + 742 days,Containment Phase,0,0,0,0,19648,0.05
743,2030-01-15 + 743 days,Containment Phase,0,0,0,0,19648,0.05
744,2030-01-15 + 744 days,Containment Phase,0,0,0,0,19648,0.05
745,2030-01-15 + 745 days,Containment Phase,0,0,0,0,19648,0.05
746,2030-01-15 + 746 days,Containment Phase,0,0,0,0,19648,0.05
747,2030-01-15 + 747 days,Containment Phase,0,0,0,0,19648,0.05
748,2030-01-15 + 748 days,Containment Phase,0,0,0,0,19648,0.05
749,2030-01-15 + 749 days,Containment Phase,0,0,0,0,19648,0.05
750,2030-01-15 + 750 days,Containment Phase,0,0,0,0,19648,0.05
751,2030-01-15 + 751 days,Containment Phase,0,0,0,0,19648,0.05
752,2030-01-15 + 752 days,Containment Phase,0,0,0,0,19648,0.05
753,2030-01-15 + 753 days,Containment Phase,0,0,0,0,19648,0.05
754,2030-01-15 + 754 days,Containment Phase,0,0,0,0,19648,0.05
755,2030-01-15 + 755 days,Containment Phase,0,0,0,0,19648,0.05
756,2030-01-15 + 756 days,Containment Phase,0,0,0,0,19648,0.05
757,2030-01-15 + 757 days,Containment Phase,0,0,0,0,19648,0.05
758,2030-01-15 + 758 days,Containment Phase,0,0,0,0,19648,0.05
759,2030-01-15 + 759 days,Containment Phase,0,0,0,0,19648,0.05
760,2030-01-15 + 760 days,Containment Phase,0,0,0,0,19648,0.05
761,2030-01-15 + 761 days,Containment Phase,0,0,0,0,19648,0.05
762,2030-01-15 + 762 days,Containment Phase,0,0,0,0,19648,0.05
763,2030-01-15 + 763 days,Containment Phase,0,0,0,0,19648,0.05
764,2030-01-15 + 764 days,Containment Phase,0,0,0,0,19648,0.05
765,2030-01-15 + 765 days,Containment Phase,0,0,0,0,19648,0.05
766,2030-01-15 + 766 days,Containment Phase,0,0,0,0,19648,0.05
767,2030-01-15 + 767 days,Containment Phase,0,0,0,0,19648,0.05
768,2030-01-15 + 768 days,Containment Phase,0,0,0,0,19648,0.05
769,2030-01-15 + 769 days,Containment Phase,0,0,0,0,19648,0.05
770,2030-01-15 + 770 days,Containment Phase,0,0,0,0,19648,0.05
771,2030-01-15 + 771 days,Containment Phase,0,0,0,0,19648,0.05
772,2030-01-15 + 772 days,Containment Phase,0,0,0,0,19648,0.05
773,2030-01-15 + 773 days,Containment Phase,0,0,0,0,19648,0.05
774,2030-01-15 + 774 days,Containment Phase,0,0,0,0,19648,0.05
775,2030-01-15 + 775 days,Containment Phase,0,0,0,0,19648,0.05
776,2030-01-15 + 776 days,Containment Phase,0,0,0,0,19648,0.05
777,2030-01-15 + 777 days,Containment Phase,0,0,0,0,19648,0.05
778,2030-01-15 + 778 days,Containment Phase,0,0,0,0,19648,0.05
779,2030-01-15 + 779 days,Containment Phase,0,0,0,0,19648,0.05
780,2030-01-15 + 780 days,Containment Phase,0,0,0,0,19648,0.05
781,2030-01-15 + 781 days,Containment Phase,0,0,0,0,19648,0.05
